lead_id,business_name,category,service_keywords,location_fit,address,city_area,province,country,phone,email,website,source_name,source_url,source_checked_date,contact_type,popia_consent_status,email_marketing_allowed_now,allowed_next_step,notes
MEY-011-m-v-metals,M V Metals,Scrap and waste services,"Scrap metal merchants, scrap dealers",Meyerton based,"6 Louis Luyt Ave, Meyerton, 1961",Meyerton,Gauteng,South Africa,016 362 0420; 076 100 2697,,https://www.mvmetals.co.za/,Cylex listing,https://www.cylex.net.za/company/m-v-metals-19632548.html,2026-05-19,no_email_found,not_contacted_consent_required,No,"No public email captured: verify details and invite opt-in by phone, in person, or web form before email marketing.",Email obfuscated in listing; not captured.
MEY-012-thayi-cleaning-services,Thayi Cleaning Services,Cleaning services,"Industrial cleaning, commercial cleaning, residential cleaning",Meyerton based,"04 Dassie Street, Meyerton East, Meyerton, 1961",Meyerton East,Gauteng,South Africa,082 232 9194,info@thayicleaningservices.co.za,https://thayicleaningservices.co.za/,Thayi Cleaning contact page,https://thayicleaningservices.co.za/contact/,2026-05-19,generic_business_email,not_contacted_consent_required,No,"Consent required: use once only for POPIA Form 4 consent request, or market only under existing-customer exception after opt-in.",Public generic email.
MEY-013-els-electrical,Els Electrical,Electrical services,Electrical installation,Meyerton based,"20 Fenton St, Meyerton, 1960",Meyerton,Gauteng,South Africa,016 362 3387,els@elselectrical.co.za,https://www.elselectrical.co.za/,AfricaBizInfo listing,https://www.africabizinfo.com/ZA/els-electrical-016-362-3387,2026-05-19,named_or_role_business_email,not_contacted_consent_required,No,"Consent required: use once only for POPIA Form 4 consent request, or market only under existing-customer exception after opt-in.",Public business listing.
MEY-014-drainmen-plumbing-services,Drainmen Plumbing Services,Plumbing and drainage,"Plumbing, drainage, leak detection, grey water systems",Serves Meyerton,"Head office: 38 Raats Drive, Table View, Cape Town; services Midvaal areas",Services Meyerton / Midvaal,Gauteng,South Africa,072 186 1071; 0860 372 466,info@drainmen.co.za,https://www.drainmen.co.za/plumber-meyerton/,Drainmen Meyerton service page,https://www.drainmen.co.za/plumber-meyerton/,2026-05-19,generic_business_email,not_contacted_consent_required,No,"Consent required: use once only for POPIA Form 4 consent request, or market only under existing-customer exception after opt-in.",Not clearly Meyerton-based; local service landing page.
MEY-015-elpar-auto-electrical,Elpar Auto Electrical,Auto electrical,Auto electricians,Meyerton based,"13 Fenton St, Meyerton, 1961",Meyerton,Gauteng,South Africa,016 362 0447,drieskruger@ymail.com,,Southern African Business Pages,https://sabusinesspgs.com/listings/elpar-auto-electrical/,2026-05-19,consumer_or_named_email,not_contacted_consent_required,No,"Consent required: use once only for POPIA Form 4 consent request, or market only under existing-customer exception after opt-in.",Public directory email is personal-looking.
MEY-016-dunamis-power,Dunamis Power,Construction and industrial services,"Yellow plant hire, fleet maintenance, commissioning, industrial services, solar and heat pump installation, construction",Meyerton based,"98 Party Rd, Boltonwold AH, Meyerton, 1961","Boltonwold AH, Meyerton",Gauteng,South Africa,016 013 0461,info@dunamispower.co.za,https://www.dunamispower.co.za/,Dunamis Power contact page,https://www.dunamispower.co.za/contact,2026-05-19,generic_business_email,not_contacted_consent_required,No,"Consent required: use once only for POPIA Form 4 consent request, or market only under existing-customer exception after opt-in.",Public generic email.
MEY-017-ellis-bd-electrical-engineer,Ellis BD Electrical & Engineering (Pty) Ltd,Electrical and engineering,Electrical engineering,Meyerton based,"Meyerton, 1961",Meyerton,Gauteng,South Africa,016 362 0643,info@ellis-engineering.co.za,,SA Business Listings,https://sabusinesslistings.co.za/listings/ellis-bd-electrical-engineering-pty-ltd/,2026-05-19,generic_business_email,not_contacted_consent_required,No,"Consent required: use once only for POPIA Form 4 consent request, or market only under existing-customer exception after opt-in.",Public generic email.
MEY-018-starlight-electrical-wholesa,Starlight Electrical Wholesalers,Electrical supplier,Electrical wholesaler,Meyerton based,"80 Pierneef Boulevard, Kookrus, Meyerton","Kookrus, Meyerton",Gauteng,South Africa,016 362 0341,silvia@starelec.co.za,,Online Directory listing,https://onlinedirectory.online/listing/starlight-electrical-wholesalers,2026-05-19,named_or_role_business_email,not_contacted_consent_required,No,"Consent required: use once only for POPIA Form 4 consent request, or market only under existing-customer exception after opt-in.",Public directory email is named.
MEY-019-drept-residential-cleaning-s,DREPT Residential Cleaning Services,Cleaning services,"House cleaning, office cleaning, apartment cleaning, deep cleaning",Meyerton based,"Loch Street, Meyerton, 1961",Meyerton,Gauteng,South Africa,067 992 3852,info@dreptresidentialcleaningservice.co.za,https://www.dreptresidentialcleaningservice.co.za/,DREPT website,https://www.dreptresidentialcleaningservice.co.za/,2026-05-19,generic_business_email,not_contacted_consent_required,No,"Consent required: use once only for POPIA Form 4 consent request, or market only under existing-customer exception after opt-in.",Public generic email.
MEY-020-bidvest-steiner-vereeniging-,Bidvest Steiner Vereeniging Branch,Cleaning and hygiene services,"Hygiene, consumables, deep clean, pest control",Meyerton based,"13 Spence Street, Meyerton, 1939",Meyerton,Gauteng,South Africa,016 423 4438; 067 714 9216,,https://steiner.co.za/branch-locator,VaalIO listing,https://www.vaalio.co.za/bidvest-steiner-vereeniging-branch,2026-05-19,no_email_found,not_contacted_consent_required,No,"No public email captured: verify details and invite opt-in by phone, in person, or web form before email marketing.",Branch listing names Vereeniging but address is Meyerton.
MEY-021-express-drains-and-plumbing,Express Drains and Plumbing,Plumbing and drainage,"Emergency plumbing, geyser installation, solar geysers, drain services",Serves Meyerton,"Meyerton, Vereeniging and Sasolburg service area",Services Meyerton / Vaal,Gauteng,South Africa,078 314 7309,info@expressdrainsandplumbing.co.za,https://www.expressdrainsandplumbing.co.za/,Express Drains website,https://www.expressdrainsandplumbing.co.za/,2026-05-19,generic_business_email,not_contacted_consent_required,No,"Consent required: use once only for POPIA Form 4 consent request, or market only under existing-customer exception after opt-in.",Service-area lead; verify physical base.
MEY-022-l2k-electrical-and-building-,L2K Electrical and Building Maintenance,Electrical and building maintenance,"Electrical installations, upgrades, fault finding, COC, building maintenance, plumbing maintenance",Meyerton based,"4 Saunderson Street, Meyerton, Gauteng, 1961",Meyerton,Gauteng,South Africa,071 886 7511; 061 524 9467,l2kelectricail@gmail.com,,Nearby Electrician listing,https://nearbyelectrician.co.za/blogs/electricians/l2k-electrical-and-building-maintenance,2026-05-19,consumer_or_named_email,not_contacted_consent_required,No,"Consent required: use once only for POPIA Form 4 consent request, or market only under existing-customer exception after opt-in.",Gmail address and spelling as listed; verify before use.
MEY-023-fontscape-holdings,Fontscape Holdings,Cleaning and business services,"Residential cleaning, commercial cleaning, logistics, business management solutions",Meyerton based,"120 Springbok Road, Highbury, Meyerton, 1960","Highbury, Meyerton",Gauteng,South Africa,016 100 1622; 073 382 6000,office@fontscape.co.za,https://fontscape.co.za/,Fontscape cleaning page,https://fontscape.co.za/cleaning/,2026-05-19,generic_business_email,not_contacted_consent_required,No,"Consent required: use once only for POPIA Form 4 consent request, or market only under existing-customer exception after opt-in.",Website lists multiple emails; office@ captured as primary.
MEY-024-eyona-security,Eyona Security,Security services,"Residential security, commercial security",Meyerton based,"Suite 1, Three Oaks Professional Centre, C/o Pierneef Boulevard & Boet Kruger Street, Meyerton, 1961",Meyerton,Gauteng,South Africa,064 525 3858; 079 461 6287; 079 890 8846,info@eyonasecurity.co.za,https://eyonasecurity.co.za/,Eyona Security contact page,https://eyonasecurity.co.za/?page_id=383,2026-05-19,generic_business_email,not_contacted_consent_required,No,"Consent required: use once only for POPIA Form 4 consent request, or market only under existing-customer exception after opt-in.",Public generic email.
MEY-025-cw-solar,CW Solar,Solar installation,"Solar systems, national service area",Meyerton based,"Meyerton, Gauteng",Meyerton,Gauteng,South Africa,082 557 6089,admin@cw-solar.co.za,https://cw-solar.co.za/,CW Solar contact page,https://cw-solar.co.za/?page_id=445,2026-05-19,generic_business_email,not_contacted_consent_required,No,"Consent required: use once only for POPIA Form 4 consent request, or market only under existing-customer exception after opt-in.",Website also lists christo@cw-solar.co.za; admin@ captured as primary.
MEY-026-rrr-solar,RRR Solar,Solar installation,"Solar power, solar energy, solar installations, solar maintenance, pumps, geysers",Meyerton based,"80 Iffley Road, Meyerton, 1962",Meyerton,Gauteng,South Africa,071 867 1424,,http://www.rrrsolar.co.za,VaalIO listing,https://www.vaalio.co.za/rrr-solar,2026-05-19,no_email_found,not_contacted_consent_required,No,"No public email captured: verify details and invite opt-in by phone, in person, or web form before email marketing.",No public email shown in VaalIO listing.
MEY-027-afri-guard,Afri Guard,Security services,"Alarm systems, guarding, monitoring, protection, surveillance, training",Meyerton based,"34 Sandsteen Rd, Pendale AH, Meyerton","Pendale AH, Meyerton",Gauteng,South Africa,086 100 0126; 016 365 8100; 080 016 0873,info@afri-guard.co.za,https://afri-guard.co.za/,Afri Guard contact page,https://afri-guard.co.za/contact-us/,2026-05-19,generic_business_email,not_contacted_consent_required,No,"Consent required: use once only for POPIA Form 4 consent request, or market only under existing-customer exception after opt-in.",Public generic email.
MEY-028-civil-sec,Civil Sec,Security services,"Security installations, maintenance, repair services",Meyerton based,"23 Hoogenhout Street, Kookrus, Meyerton","Kookrus, Meyerton",Gauteng,South Africa,066 431 8682,Andre@civilsec.co.za,,Midvaal Business Chamber member page,https://midvaalchamber.co.za/member/civil-sec/,2026-05-19,named_or_role_business_email,not_contacted_consent_required,No,"Consent required: use once only for POPIA Form 4 consent request, or market only under existing-customer exception after opt-in.",Public chamber member listing; named business email.
MEY-029-protrac-projects,Protrac Projects,Security systems installation,"CCTV, perimeter security, access control, alarms, gate automation, maintenance",Meyerton based,"243 Jan Neethling Road, Riversdale, Meyerton","Riversdale, Meyerton",Gauteng,South Africa,061 444 9062,,https://protrac.co.za/,Protrac website,https://protrac.co.za/,2026-05-19,no_email_found,not_contacted_consent_required,No,"No public email captured: verify details and invite opt-in by phone, in person, or web form before email marketing.",Website has email link text but email address not exposed in search snippet.
MEY-030-ccso-solar,CCSO Solar,Solar installation,"Solar panel installation, inverters, lithium batteries, consulting",Serves Meyerton,"10 Pierneef St, Sasolburg, 1947; services Meyerton area",Services Meyerton,Gauteng,South Africa,066 248 9290,solar@ccso.co.za,https://ccsosolar.co.za/,CCSO Solar Meyerton page,https://ccsosolar.co.za/solar-panels-inverters-and-lithium-batteries-in-meyerton/,2026-05-19,named_or_role_business_email,not_contacted_consent_required,No,"Consent required: use once only for POPIA Form 4 consent request, or market only under existing-customer exception after opt-in.",Service-area lead; based in Sasolburg.
MEY-031-electrocool-construction,Electrocool Construction,Construction and maintenance,"Building construction, steel structures, cladding, timber construction, repairs, maintenance, boundary walls, carports",Meyerton based,"5A Tulbach Street, Kookrus, Meyerton","Kookrus, Meyerton",Gauteng,South Africa,082 463 1477,,http://electrocoolconstruction.amawebs.com,AiYellow listing,https://www.aiyellow.com/electrocoolconstruction/,2026-05-19,no_email_found,not_contacted_consent_required,No,"No public email captured: verify details and invite opt-in by phone, in person, or web form before email marketing.",No public email found.
MEY-032-derbey-projects,Derbey Projects,Civil construction,"Civil construction, plant hire, concrete silo foundations, civil engineering, maintenance",Serves Meyerton,Vaal Triangle / Lochvaal service area,Services Meyerton / Vaal,Gauteng,South Africa,082 905 1530,civils@derbeyprojects.co.za,https://derbeyprojects.co.za/,Derbey Projects Meyerton service page,https://derbeyprojects.co.za/civil-construction-services-meyerton/,2026-05-19,named_or_role_business_email,not_contacted_consent_required,No,"Consent required: use once only for POPIA Form 4 consent request, or market only under existing-customer exception after opt-in.",Service-area lead; verify physical base.
MEY-033-j-strydom-and-partners,J Strydom and Partners,Accounting and financial services,"Chartered accounting, tax, wills, audits, SARS disputes, liquidations",Meyerton based,"50 Boet Kruger Street, Meyerton, 1961",Meyerton,Gauteng,South Africa,016 423 6212,info@jstrydom.co.za,https://jstrydom.co.za/,J Strydom contact page,https://jstrydom.co.za/contact-us/,2026-05-19,generic_business_email,not_contacted_consent_required,No,"Consent required: use once only for POPIA Form 4 consent request, or market only under existing-customer exception after opt-in.",Public generic email.
MEY-034-botha-barendrecht-attorneys,Botha & Barendrecht Attorneys,Legal services,"Attorneys, legal services",Meyerton based,"Rose Bend Place, Suite 1, 1 Rissik Street, Meyerton, 1961",Meyerton,Gauteng,South Africa,016 013 0014; 082 451 6077; 081 510 0249,admin@bbincattorneys.co.za,https://bothabarendrecht.co.za/,Botha & Barendrecht contact page,https://bothabarendrecht.co.za/contact/,2026-05-19,generic_business_email,not_contacted_consent_required,No,"Consent required: use once only for POPIA Form 4 consent request, or market only under existing-customer exception after opt-in.",Public generic email.
MEY-035-pro-select,Pro-Select,Accounting services,"Accounting, tax, financial services for businesses, individuals and trusts",Meyerton based,"17 Seder Rd, Golfpark, Meyerton, 1961","Golfpark, Meyerton",Gauteng,South Africa,082 859 3362,louis@pro-select.co.za,https://www.pro-select.co.za/,Pro-Select contact page,https://www.pro-select.co.za/contact/,2026-05-19,named_or_role_business_email,not_contacted_consent_required,No,"Consent required: use once only for POPIA Form 4 consent request, or market only under existing-customer exception after opt-in.",Public named business email.
MEY-036-pjoy,PJoy,Fibre and network services,"Fibre optic installation, splicing, testing, network design, project management, training",Meyerton based,"2697 Bramley Street, Pocket 3 Savanna City, Meyerton, 1960","Savanna City, Meyerton",Gauteng,South Africa,063 767 7035,admin@pjoy.co.za,https://pjoy.co.za/,PJoy contact page,https://pjoy.co.za/contact/,2026-05-19,generic_business_email,not_contacted_consent_required,No,"Consent required: use once only for POPIA Form 4 consent request, or market only under existing-customer exception after opt-in.",Public generic email.
MEY-037-tk-financial-hr-services,TK Financial & HR Services,Bookkeeping and HR services,"Bookkeeping, taxation, payroll, labour matters, company secretarial work",Meyerton based,"5 Gluck St, Kookrus, Meyerton, 1961","Kookrus, Meyerton",Gauteng,South Africa,082 962 2258; 079 409 4070,,https://tkfinancial.co.za/,TK Financial contact page,https://tkfinancial.co.za/contact-us-5019,2026-05-19,no_email_found,not_contacted_consent_required,No,"No public email captured: verify details and invite opt-in by phone, in person, or web form before email marketing.",Emails were redacted as email protected in snippet; not captured.
MEY-038-van-der-walt-accountants,Van der Walt Accountants,Accounting services,Tax and accounting consultants,Meyerton based,"30 Galloway Street, Meyerton, 1961",Meyerton,Gauteng,South Africa,016 362 2525,,https://www.rekenmeesters.co.za/,Fyple listing,https://www.fyple.co.za/company/van-der-walt-accountants-aa2r1e/,2026-05-19,no_email_found,not_contacted_consent_required,No,"No public email captured: verify details and invite opt-in by phone, in person, or web form before email marketing.",No public email found in listing.
MEY-039-kruger-en-van-eeden-attorney,Kruger en Van Eeden Attorneys,Legal services,"Administration, correspondence work, attorneys",Meyerton based,"30B Galloway Street, Meyerton; also Vanderbijlpark office",Meyerton,Gauteng,South Africa,016 931 2380; 084 984 8570,joeypeters@telkomsa.net,,Legal Practitioners Directory,https://www.directory101.co.za/legaldir/index.php?id=908&page=item,2026-05-19,consumer_or_named_email,not_contacted_consent_required,No,"Consent required: use once only for POPIA Form 4 consent request, or market only under existing-customer exception after opt-in.",Public email is named/personal-looking; verify before use.
MEY-040-george-jonker-associates,George Jonker & Associates,Legal and business consulting,"Labour law, business analyst, strategic planning, consulting",Meyerton based,"Meyerton, Gauteng",Meyerton,Gauteng,South Africa,081 559 8268; 016 362 2718,george@jonkerrodes.co.za,,HRTI directory PDF,https://www.hrti.co.za/Directory/Directory.pdf,2026-05-19,named_or_role_business_email,not_contacted_consent_required,No,"Consent required: use once only for POPIA Form 4 consent request, or market only under existing-customer exception after opt-in.",Public directory PDF; named business email.
MEY-041-first-battery-centre-meyerto,First Battery Centre Meyerton,Automotive battery services,"Batteries, delivery, callouts, after-hours callouts",Meyerton based,"Shop 6a, Boet Kruger Street, Meyerton",Meyerton,Gauteng,South Africa,016 362 0994; 063 886 5475; 087 250 0481,bcmeyerton6a@gmail.com,https://www.battery.co.za/,First Battery store page,https://www.battery.co.za/store/first-battery-centre-meyerton/,2026-05-19,consumer_or_named_email,not_contacted_consent_required,No,"Consent required: use once only for POPIA Form 4 consent request, or market only under existing-customer exception after opt-in.",Branch Gmail listed publicly.
MEY-042-xxx-cv-exhaust,XXX CV & Exhaust,Automotive services,"CV joints, exhaust, mechanical and manufacturing services",Meyerton based,"33 Meyer Street, Meyerton, Gauteng",Meyerton,Gauteng,South Africa,016 362 4817; 078 112 2160,info@xxxexhaust.co.za,https://xxxexhaust.co.za/,XXX CV & Exhaust contact page,https://xxxexhaust.co.za/contact-us/,2026-05-19,generic_business_email,not_contacted_consent_required,No,"Consent required: use once only for POPIA Form 4 consent request, or market only under existing-customer exception after opt-in.",Public generic email.
MEY-043-jc-auto-towing,JC Auto Towing,Towing services,Auto towing,Meyerton based,"29 Meyer Street, Meyerton, Gauteng",Meyerton,Gauteng,South Africa,084 503 1295,jcautoview@gmail.com,http://jc-auto-view-towing.co.za,DIBIZ digital business card,https://www.dibiz.com/ripmarautoview,2026-05-19,consumer_or_named_email,not_contacted_consent_required,No,"Consent required: use once only for POPIA Form 4 consent request, or market only under existing-customer exception after opt-in.",Gmail listed publicly.
MEY-044-g-t-panelbeaters-spraypainte,G T Panelbeaters & Spraypainters,Panel beating and car body repairs,"Panelbeaters, spraypainters, car body repairs",Meyerton based,"10 Dutton Street, Meyerton, 1961",Meyerton,Gauteng,South Africa,016 362 1166; 076 368 4399,,,Cylex listing,https://www.cylex.net.za/company/g-t-panelbeaters---spraypainters-19624619.html,2026-05-19,no_email_found,not_contacted_consent_required,No,"No public email captured: verify details and invite opt-in by phone, in person, or web form before email marketing.",No public email found.
MEY-045-meyerton-towing,Meyerton Towing,Towing and roadside assistance,"Towing, roadside assistance, tyre changes, fuel assist, recovery",Meyerton based,"3 Japie Fourie Avenue, Kookrus, Meyerton, 1961","Kookrus, Meyerton",Gauteng,South Africa,062 553 3971; 073 822 8802,brandontowing56@gmail.com,https://sites.google.com/view/meyertontowing/home,Nichemarket listing,https://www.nichemarket.co.za/automotive/meyerton-towing,2026-05-19,consumer_or_named_email,not_contacted_consent_required,No,"Consent required: use once only for POPIA Form 4 consent request, or market only under existing-customer exception after opt-in.",Gmail listed publicly; Services4Africa also lists same provider.
MEY-046-botha-s-towing-group,Botha's Towing Group,Towing services,"Commercial towing, heavy duty towing, private light vehicle towing, recovery",Serves Meyerton,"41 National Rd (Barrage Rd), Stefano Park AH, Vanderbijlpark, 1911",Services Meyerton / Vaal,Gauteng,South Africa,016 100 1263; 061 422 1081,bothastowing@gmail.com,https://bothastowing.co.za/,Botha's Towing website,https://bothastowing.co.za/towing-services,2026-05-19,consumer_or_named_email,not_contacted_consent_required,No,"Consent required: use once only for POPIA Form 4 consent request, or market only under existing-customer exception after opt-in.",Service-area lead; not Meyerton-based.
MEY-047-cjr-autobody,CJR Autobody,Towing and autobody services,"Towing, recovery, heavy-duty towing, autobody",Serves Meyerton,Meyerton and surrounding areas,Services Meyerton,Gauteng,South Africa,,,https://www.cjrautobody.co.za/,CJR Autobody website,https://www.cjrautobody.co.za/,2026-05-19,no_email_found,not_contacted_consent_required,No,"No public email captured: verify details and invite opt-in by phone, in person, or web form before email marketing.",Search snippet confirms service area but no contact details captured in first pass.
MEY-048-car-service-city-meyerton,Car Service City Meyerton,Automotive service and repair,"Car servicing, maintenance, repairs, replacements, motor workshop",Meyerton based,"Shop 1b, Riverstone Mall, Cnr Pierneef Boulevard & Jim Fouche Rd, Meyerton, 1961",Meyerton,Gauteng,South Africa,087 357 7755; 072 941 4050,info@carservicecity.co.za,https://www.carservicecity.co.za/,StartUs listing,https://www.startus.cc/company/car-service-city-meyerton,2026-05-19,generic_business_email,not_contacted_consent_required,No,"Consent required: use once only for POPIA Form 4 consent request, or market only under existing-customer exception after opt-in.",Head office email; verify branch-specific consent route.
MEY-049-rock-n-audio-and-autostylin,ROCK n AUDIO AND AUTOSTYLIN,Auto electrical and car accessories,"Car audio, alarms, immobilizers, gearlocks, aircon regas, central locking, tracking",Meyerton based,"19c Loch Street, Meyerton, Gauteng, 1963",Meyerton,Gauteng,South Africa,016 362 0799; 073 619 2616,,,Looking4Spares listing,https://www.looking4spares.co.za/directory/car-service-and-workshops/gauteng/meyerton/rock-n-audio-and-autostylin,2026-05-19,no_email_found,not_contacted_consent_required,No,"No public email captured: verify details and invite opt-in by phone, in person, or web form before email marketing.",Listing has email label but no email exposed in snippet.
MEY-050-afpet-diesel-depot,Afpet Diesel Depot,Fuel and depot services,"Diesel, LP gas, shop, deli, Pargo pickup point, lubricants",Meyerton based,"53 Cypress Road, Meyerton, Gauteng",Meyerton,Gauteng,South Africa,0861 017 428,,https://www.afpet.co.za/,VaalOnline listing,https://www.vaalonline.com/business-directory/dynamic,2026-05-19,no_email_found,not_contacted_consent_required,No,"No public email captured: verify details and invite opt-in by phone, in person, or web form before email marketing.",VaalOnline public listing.
MEY-051-amazing-kitchens-renovations,Amazing Kitchens & Renovations,Renovation and home improvement,"Kitchens, built-in cupboards, vanities, ceilings, plumbing, electrical, painting, tiling, flooring, demolition, building work",Meyerton based,"Unit 53, Pilkington Tile Industrial Park, Cnr Johan Le Roux & Morris St, Meyerton",Meyerton,Gauteng,South Africa,082 920 4523,,https://www.amazingkitchens.co.za/,VaalOnline listing,https://www.vaalonline.com/business-directory/amazing-kitchens,2026-05-19,no_email_found,not_contacted_consent_required,No,"No public email captured: verify details and invite opt-in by phone, in person, or web form before email marketing.",Good fit for Sjoh pro recruitment.
MEY-052-bemi-active-sports-wear,BeMi Active Sports Wear,Printing and manufacturing,Sportswear printing and manufacturing,Meyerton based,"411 Galloway Street, Oudewerf Premises, Meyerton",Meyerton,Gauteng,South Africa,083 654 0079,,https://www.bemi.co.za/,VaalOnline listing,https://www.vaalonline.com/business-directory/be-mi-active-,2026-05-19,no_email_found,not_contacted_consent_required,No,"No public email captured: verify details and invite opt-in by phone, in person, or web form before email marketing.",Manufacturing and printing service.
MEY-053-cancun-spur-steak-ranch,Cancun Spur Steak Ranch,Restaurant and food services,"Restaurant, delivery, collection",Meyerton based,"Meyerton Piazza, Meyerton",Meyerton,Gauteng,South Africa,016 362 1177,,https://www.spursteakranches.com/,VaalOnline listing,https://www.vaalonline.com/business-directory/cancun-spur-steak-ranch,2026-05-19,no_email_found,not_contacted_consent_required,No,"No public email captured: verify details and invite opt-in by phone, in person, or web form before email marketing.",Lower priority for service-provider app unless food service category is targeted.
